prize_id,prize_name,prize_alias,prize_institution,prize_year,prize_genre,person_id,first_name,last_name,gender,uk_residence,ethnicity_macro,highest_degree,degree_field_cat,degree_institution,degree_field,role_simple,person_role,book_id,book_title
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2020,Crime,0423,Mick,Herron,man,TRUE,White British,Bachelors,Language and Literature,University of Oxford,English,Shortlisted,shortlisted,00534,Joe Country
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,2020,Sff,0492,NK,Jemisin,woman,FALSE,Non-White American,Masters,Medicine and Social Work,University of Maryland-College Park,Counseling,Winner,winner,00629,The City We Became
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,2020,Poetry,0523,Bhanu,Kapil,woman,TRUE,Asian,Masters,Language and Literature,SUNY Brockport,English Literature,Winner,winner,00670,How to Wash a Heart
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2020,Non-Fiction,0606,Christina,Lamb,woman,TRUE,White British,Bachelors,Politics and Economics,University of Oxford,PPE,Shortlisted,shortlisted,00768,"Our Bodies, Their Battlefield"
5,Costa Biography Award,Costa Biography Award,Costa,2020,Biography,0041,Lee,Lawrence,man,TRUE,Black British,unknown,unknown,unknown,unknown,Winner,winner,00174,The Louder I Will Sing
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2020,Fiction,0077,Hilary,Mantel,woman,TRUE,White British,Bachelors,Law,University of Sheffield,Law,Shortlisted,shortlisted,00379,The Mirror & the Light
8,Booker Prize,Booker Prize,Booker Foundation,2020,Fiction,0187,Maaza,Mengiste,woman,FALSE,Non-White American,Masters,Writing,New York University,Creative Writing,Shortlisted,shortlisted,00217,The Shadow King
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2020,Crime,0415,Abir,Mukherjee,man,TRUE,Asian,unknown,unknown,unknown,unknown,Shortlisted,shortlisted,00535,Death in the East
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2020,Fiction,0089,Maggie,O'Farrell,woman,TRUE,White British,Bachelors,Maths and Sciences,Harvard University,Public Health,Winner,winner,00376,Hamnet
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2020,Fiction,0308,Jenny,Offill,woman,FALSE,Non-UK White,Bachelors,Language and Literature,Essex University,Comparative Literature,Shortlisted,shortlisted,00380,Weather
3,Costa First Novel Award,Costa First Novel Award,Costa,2020,Fiction,0040,Ingrid,Persaud,woman,TRUE,Caribbean,Bachelors,Law,London School of Economics,Law,Winner,winner,00260,Love After Love
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2020,Crime,0424,Michael,Robotham,man,FALSE,Non-UK White,none,none,none,none,Winner,winner,00536,"Good Girl, Bad Girl"
2,Costa Book of the Year,Costa Book of the Year,Costa,2020,No/Any/Multi Genre,0039,Monique,Roffey,woman,TRUE,Black British,Doctorate,Writing,Lancaster University,Creative Writing,Winner,winner,00276,The Mermaid of Black Conch: A Love Story
4,Costa Novel Award,Costa Novel Award,Costa,2020,Fiction,0039,Monique,Roffey,woman,TRUE,Black British,Doctorate,Writing,Lancaster University,Creative Writing,Winner,winner,00276,The Mermaid of Black Conch: A Love Story
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2020,Non-Fiction,0607,Amy,Stanley,woman,FALSE,Non-UK White,Doctorate,History and Cultural Studies,Harvard University,East Asian Languages and Civilizations,Shortlisted,shortlisted,00769,Stranger in the Shogun's City
8,Booker Prize,Booker Prize,Booker Foundation,2020,Fiction,0183,Douglas,Stuart,man,TRUE,Non-UK White,Masters,unknown,University of Cambridge,unknown,Winner,winner,00317,Shuggie Bain
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2020,Non-Fiction,0608,Kate,Summerscale,woman,TRUE,White British,Masters,Writing,Stanford University,Journalism,Shortlisted,shortlisted,00770,The Haunting of Alma Fielding
